"","county","STATEABBREVIATION","dist_SSP","HIVprevalence","opioid_RxRate","pctunins","metro"
"268","macon county","TN",44,41.4,113.7,11.5,"metro"
"269","decatur county","IA",122.38,73.8,54.2,12.8,"non-metro"
"270","tama county","IA",60.85,77.2,27.2,7.6,"non-metro"
"271","shelby county","OH",38.55,79.9,60,5.7,"non-metro"
"272","carroll county","IA",151.82,89.4,87.8,3.3,"non-metro"
"273","lake county","MI",71,95.1,29,11.4,"non-metro"
"274","st. louis city","MO",3.32,1117.1,47.9,14.7,"metro"
"275","jim wells county","TX",456,82.7,77.5,21,"non-metro"
"276","iberville parish","LA",20.5,1019.7,73.3,12.2,"metro"
"277","hoke county","NC",14,-1,56.3,14.7,"metro"
"278","dundy county","NE",175.25,-1,107.1,12,"non-metro"
"279","harford county","MD",25.75,222.2,64.6,4.6,"metro"
"280","contra costa county","CA",8.4,256.2,36.2,8.5,"metro"
"281","williamson county","TN",23.27,77.2,50.8,5.2,"metro"
"282","kinney county","TX",291,252.6,22.4,22.8,"non-metro"
"283","autauga county","AL",153.67,219.1,106.6,8.9,"metro"
"284","gregg county","TX",242.11,460.4,126.5,20,"metro"
"285","nicollet county","MN",17.8,49.5,19,3.5,"metro"
"286","summit county","UT",28.62,62.9,51.5,10.5,"non-metro"
"287","sabine county","TX",168.5,110.8,44.4,22.1,"non-metro"
"288","hamilton county","IN",15.62,81.1,46.9,6,"metro"
"289","pierce county","GA",206.75,126.1,62.5,18.8,"non-metro"
"290","cleburne county","AR",119.6,101,112.2,13.8,"non-metro"
"291","lincoln county","OK",156.4,93.4,17.7,15,"metro"
"292","galax city","VA",54,108,345.1,12.3,"non-metro"
"293","la plata county","CO",37.6,94.6,51.8,12.9,"non-metro"
"294","llano county","TX",318,141.7,56.9,17.8,"non-metro"
"295","somervell county","TX",328.67,82,5.1,19.5,"metro"
"296","yazoo county","MS",159,466.1,59.3,16.8,"metro"
"297","solano county","CA",16.4,328.1,37.7,9.2,"metro"
